State,County,CountyID,Population Change Abs,Pop Change (%),Attribute,Value
CT,Windham,WindhamCT,-1598,-1.349890184,2019,116782
DE,Sussex,SussexDE,37122,18.8338077,2010,197885
DE,Sussex,SussexDE,37122,18.8338077,2011,200362
DE,Sussex,SussexDE,37122,18.8338077,2012,203034
DE,Sussex,SussexDE,37122,18.8338077,2013,206207
DE,Sussex,SussexDE,37122,18.8338077,2014,210263
DE,Sussex,SussexDE,37122,18.8338077,2015,214636
DE,Sussex,SussexDE,37122,18.8338077,2016,219321
DE,Sussex,SussexDE,37122,18.8338077,2017,224348
DE,Sussex,SussexDE,37122,18.8338077,2018,229389
DE,Sussex,SussexDE,37122,18.8338077,2019,234225
DE,Kent,KentDE,18436,11.35571297,2010,162956
DE,Kent,KentDE,18436,11.35571297,2011,165110
DE,Kent,KentDE,18436,11.35571297,2012,167297
DE,Kent,KentDE,18436,11.35571297,2013,169038
DE,Kent,KentDE,18436,11.35571297,2014,171456
DE,Kent,KentDE,18436,11.35571297,2015,173128
DE,Kent,KentDE,18436,11.35571297,2016,174542
DE,Kent,KentDE,18436,11.35571297,2017,176499
DE,Kent,KentDE,18436,11.35571297,2018,178540
DE,Kent,KentDE,18436,11.35571297,2019,180786
DE,NewCastle,NewCastleDE,20269,3.764085841,2010,538752
DE,NewCastle,NewCastleDE,20269,3.764085841,2011,541909
DE,NewCastle,NewCastleDE,20269,3.764085841,2012,544848
DE,NewCastle,NewCastleDE,20269,3.764085841,2013,548331
DE,NewCastle,NewCastleDE,20269,3.764085841,2014,550768
DE,NewCastle,NewCastleDE,20269,3.764085841,2015,553488
DE,NewCastle,NewCastleDE,20269,3.764085841,2016,555058
DE,NewCastle,NewCastleDE,20269,3.764085841,2017,555976
DE,NewCastle,NewCastleDE,20269,3.764085841,2018,557550
DE,NewCastle,NewCastleDE,20269,3.764085841,2019,558753
DC,DictrictofColumbia,DictrictofColumbiaDC,103982,17.27944537,2010,605226
DC,DictrictofColumbia,DictrictofColumbiaDC,103982,17.27944537,2011,619800
DC,DictrictofColumbia,DictrictofColumbiaDC,103982,17.27944537,2012,634924
DC,DictrictofColumbia,DictrictofColumbiaDC,103982,17.27944537,2013,650581
DC,DictrictofColumbia,DictrictofColumbiaDC,103982,17.27944537,2014,662328
DC,DictrictofColumbia,DictrictofColumbiaDC,103982,17.27944537,2015,675400
DC,DictrictofColumbia,DictrictofColumbiaDC,103982,17.27944537,2016,685815
DC,DictrictofColumbia,DictrictofColumbiaDC,103982,17.27944537,2017,694906
DC,DictrictofColumbia,DictrictofColumbiaDC,103982,17.27944537,2018,701547
DC,DictrictofColumbia,DictrictofColumbiaDC,103982,17.27944537,2019,705749
FL,Sumter,SumterFL,39000,41.74694926,2010,94278
FL,Sumter,SumterFL,39000,41.74694926,2011,97975
FL,Sumter,SumterFL,39000,41.74694926,2012,101669
FL,Sumter,SumterFL,39000,41.74694926,2013,106898
FL,Sumter,SumterFL,39000,41.74694926,2014,112236
FL,Sumter,SumterFL,39000,41.74694926,2015,117076
FL,Sumter,SumterFL,39000,41.74694926,2016,122009
FL,Sumter,SumterFL,39000,41.74694926,2017,124995
FL,Sumter,SumterFL,39000,41.74694926,2018,128719
FL,Sumter,SumterFL,39000,41.74694926,2019,132420
FL,Osceola,OsceolaFL,107066,39.84814932,2010,269837
FL,Osceola,OsceolaFL,107066,39.84814932,2011,278636
FL,Osceola,OsceolaFL,107066,39.84814932,2012,288876
